Ticker,Nome
AZUL4,Azul
HAPV3,Hapvida
COGN3,Cogna
B3SA3,B3
BBAS3,Banco do Brasil
ITSA4,Itaúsa
BBDC4,Banco Bradesco
PETR4,Petrobras
MGLU3,Magazine Luiza
JBSS3,JBS
CVCB3,CVC
ITUB4,Itaú Unibanco
SRNA3,Serena Energia
CPLE6,Copel
RAIZ4,Raízen
LREN3,Lojas Renner
BEEF3,Minerva
VAMO3,Grupo Vamos
ABEV3,Ambev
BRFS3,BRF
ELET3,Eletrobras
OIBR3,Oi
VALE3,Vale
CSAN3,Cosan
GGBR4,Gerdau
RADL3,RaiaDrogasil
GOLL4,GOL
POMO4,Marcopolo
EQTL3,Equatorial Energia
ENEV3,Eneva
RAIL3,Rumo
VBBR3,Vibra Energia
PCAR3,Grupo Pão de Açúcar
STBP3,Santos Brasil
CMIG4,Cemig
MRFG3,Marfrig
MRVE3,MRV
ANIM3,Ânima Educação
ASAI3,Assaí
CSNA3,Siderúrgica Nacional
JHSF3,JHSF
TIMS3,TIM
PRIO3,PetroRio
CASH3,Méliuz
VIVA3,Vivara
SMFT3,Smart Fit
NTCO3,Natura
LWSA3,Locaweb
RENT3,Localiza
BPAC11,Banco BTG Pactual
BRAV3,3R Petroleum
CPLE3,Copel
GFSA3,Gafisa
KLBN11,Klabin
BBDC3,Banco Bradesco
WEGE3,WEG
RECV3,PetroRecôncavo
POSI3,Positivo
AMER3,Americanas
USIM5,Usiminas
PETR3,Petrobras
VIVT3,Vivo
CYRE3,Cyrela
CMIN3,CSN Mineração
UGPA3,Ultrapar
HBSA3,Hidrovias do Brasil
CSMG3,COPASA
PETZ3,Petz
MOVI3,Movida
AMOB3,Automob
AURE3,Auren Energia
GOAU4,Metalúrgica Gerdau
MULT3,Multiplan
ALOS3,Allos
SEER3,Ser Educacional
IFCM3,Infracommerce
BHIA3,Casas Bahia
CBAV3,CBA
YDUQ3,YDUQS
SUZB3,Suzano
RDOR3,Rede D'Or
HYPE3,Hypera
ECOR3,EcoRodovias
RAPT4,Randon
GMAT3,Grupo Mateus
ELET6,Eletrobras
ODPV3,Odontoprev
BRSR6,Banrisul
VVEO3,Viveo
ALPA4,Alpargatas
CEAB3,C&A
CXSE3,Caixa Seguridade
LJQQ3,Lojas Quero-Quero
FLRY3,Fleury
SIMH3,Simpar
GRND3,Grendene
RCSL4,Recrusul
BBSE3,BB Seguridade
DIRR3,Direcional
AZZA3,Arezzo
QUAL3,Qualicorp
BRAP4,Bradespar
TAEE11,Taesa
CURY3,Cury
IGTI11,Iguatemi
IGTI11,Jereissati Participações
INTB3,Intelbras
TOTS3,Totvs
AZEV4,Azevedo & Travassos
BRKM5,Braskem
EMBR3,Embraer
SOJA3,Boa Safra Sementes
SLCE3,SLC Agrícola
SBSP3,Sabesp
TEND3,Construtora Tenda
DXCO3,Dexco
ENGI11,Energisa
EGIE3,Engie
AZTE3,AZT Energia
ONCO3,Oncoclínicas
MDNE3,Moura Dubeux
DASA3,Dasa
ISAE4,ISA Energia
IRBR3,IRB Brasil RE
TFCO4,Track & Field
CPFE3,CPFL Energia
CAML3,Camil Alimentos
GGPS3,GPS
LIGT3,Light
MLAS3,Multilaser
KEPL3,Kepler Weber
HBOR3,Helbor
CSED3,Cruzeiro do Sul Educacional
PSSA3,Porto Seguro
CRFB3,Carrefour Brasil
AZEV3,Azevedo & Travassos
EVEN3,Even
PGMN3,Pague Menos
GUAR3,Guararapes
TTEN3,3tentos
SAPR11,Sanepar
EZTC3,EZTEC
ENJU3,Enjoei
SAPR4,Sanepar
SMTO3,São Martinho
KLBN4,Klabin
PLPL3,Plano&Plano
SBFG3,Grupo SBF
LAVV3,Lavvi Incorporadora
MILS3,Mills
SANB11,Banco Santander
TUPY3,Tupy
MYPK3,Iochpe-Maxion
ITUB3,Itaú Unibanco
PNVL3,Dimed
PDGR3,PDG Realty
NEOE3,Neoenergia
LEVE3,Mahle Metal Leve
ORVR3,Orizon
PORT3,Wilson Sons
MELK3,Melnick
MTRE3,Mitre Realty
PINE4,Banco Pine
WIZC3,Wiz Soluções
BPAN4,Banco Pan
TRIS3,Trisul
VTRU3,VITRUBREPCOM
ZAMP3,Zamp
UCAS3,Unicasa
ALUP11,Alupar
BMGB4,Banco BMG
LPSB3,Lopes
MBLY3,Mobly
AMAR3,Lojas Marisa
SHUL4,Schulz
VULC3,Vulcabras
JALL3,Jalles Machado
FESA4,Ferbasa
MEAL3,IMC Alimentação
FIQE3,Unifique
JSLG3,JSL
RANI3,Irani
ARML3,Armac
TASA4,Taurus
BLAU3,Blau Farmacêutica
ABCB4,Banco ABC Brasil
HBRE3,HBR Realty
LOGG3,LOG CP
SYNE3,SYN
POMO3,Marcopolo
RCSL3,Recrusul
FRAS3,Fras-le
PTBL3,Portobello
KLBN3,Klabin
OPCT3,OceanPact
MDIA3,M. Dias Branco
PRNR3,Priner
AERI3,Aeris Energy
PFRM3,Profarma
ALPK3,Estapar
PMAM3,Paranapanema
BRST3,Brisanet
VLID3,Valid
ESPA3,Espaçolaser
MATD3,Mater Dei
BMOB3,Bemobi
ITSA3,Itaúsa
BRBI11,BR Partners
DESK3,Desktop
TGMA3,Tegma
DEXP3,Dexxos
UNIP6,Unipar
VITT3,Vittia
SHOW3,Time For Fun
SAPR3,Sanepar
AGRO3,BrasilAgro
TAEE4,Taesa
ROMI3,Indústrias ROMI
AALR3,Alliança
ETER3,Eternit
LUPA3,Lupatech
EUCA4,Eucatex
RNEW4,Renova Energia
CAMB3,Cambuci
BRAP3,Bradespar
AMBP3,Ambipar
TECN3,Technos
CMIG3,Cemig
PDTC3,Padtec
OIBR4,Oi
USIM3,Usiminas
RSID3,Rossi Residencial
SEQL3,Sequoia Logística
TAEE3,Taesa
INEP4,Inepar
DEXP4,Dexxos
DMVF3,D1000 Varejo Farma
RAPT3,Randon
SANB4,Banco Santander
SANB3,Banco Santander
VIVR3,Viver
HOOT4,Hotéis Othon
ALLD3,Allied
NGRD3,Neogrid
RNEW3,Renova Energia
PTNT4,Pettenati
TRAD3,Traders Club
SCAR3,São Carlos
EALT4,Electro Aço Altona
BRKM3,Braskem
TCSA3,Tecnisa
IGTI3,Iguatemi
IGTI3,Jereissati Participações
FICT3,Fictor Alimentos
MGEL4,Mangels
WEST3,Westwing
LVTC3,WDC Networks
AGXY3,AgroGalaxy
LOGN3,Log-In
GOAU3,Metalúrgica Gerdau
WHRL3,Whirlpool
GGBR3,Gerdau
ELMD3,Eletromidia
INEP3,Inepar
BIOM3,Biomm
EALT3,Electro Aço Altona
EQPA3,Equatorial Energia Pará
LAND3,Terra Santa
AVLL3,Alphaville
ATMP3,Atma
BMEB4,Banco Mercantil do Brasil
CSUD3,CSU Cardsystem
WHRL4,Whirlpool
ALUP4,Alupar
BOBR4,Bombril
TPIS3,Triunfo
BRSR3,Banrisul
NUTR3,Nutriplant
BEES3,Banestes
DOTZ3,Dotz
FIEI3,Fica
PINE3,Banco Pine
EMAE4,EMAE
RNEW11,Renova Energia
VSTE3,LE LIS BLANC
JFEN3,João Fortes
FHER3,Fertilizantes Heringer
UNIP3,Unipar
TASA3,Taurus
CGRA4,Grazziotin
RDNI3,RNI
REAG3,REAG3
CEBR3,CEB
AMAR11,Lojas Marisa
EPAR3,Embpar Participações
BEES4,Banestes
COCE5,Coelce
ENGI4,Energisa
DOHL4,Döhler
ALUP3,Alupar
LUXM4,Trevisa
GSHP3,General Shopping & Outlets
TELB4,Telebras
CLSC4,Celesc
SNSY5,Sansuy
ISAE3,ISA Energia
EUCA3,Eucatex
BIED3,BIED3
BMEB3,Banco Mercantil do Brasil
MNDL3,Mundial
ENGI3,Energisa
HAGA3,Haga
CTKA4,Karsten
BPAC5,Banco BTG Pactual
PPLA11,PPLA
MOAR3,Monteiro Aranha
BAZA3,Banco da Amazônia
ALPA3,Alpargatas
CEBR6,CEB
AZEV11,Azevedo & Travassos
BGIP4,Banese
CTSA4,Santanense
BPAC3,Banco BTG Pactual
RPMG3,Refinaria de Manguinhos
CEDO4,Cedro Têxtil
MTSA4,Metisa
MNPR3,Minupar
TELB3,Telebras
BSLI3,Banco de Brasília
CRPG5,Tronox Pigmentos
HAGA4,Haga
MWET4,Wetzel
ATED3,ATOM EDUCAÇÃO E EDITORA S.A.
RSUL4,Metalúrgica Riosulense
GEPA4,Rio Paranapanema Energia
CEBR5,CEB
OFSA3,Ourofino Saúde Animal
NEXP3,Brasil Brokers
BMIN4,Banco Mercantil de Investimentos
REDE3,Rede Energia
OSXB3,OSX Brasil
PEAB3,Participações Aliança da Bahia
PATI3,Panatlântica
MRSA3B,MRS Logística
PTNT3,Pettenati
RPAD5,Alfa Holdings
ENMT3,Energisa MT
CEEB3,COELBA
CGRA3,Grazziotin
BSLI4,Banco de Brasília
EKTR4,Elektro
FESA3,Ferbasa
PLAS3,Plascar
NORD3,Nordon
CTSA3,Santanense
TKNO4,Tekno
PEAB4,Participações Aliança da Bahia
SOND5,Sondotécnica
GEPA3,Rio Paranapanema Energia
MRSA6B,MRS Logística
IGTI4,Jereissati Participações
IGTI4,Iguatemi
AFLT3,Afluente T
BMKS3,Monark
CGAS5,Comgás
BALM4,Baumer
BNBR3,Banco do Nordeste
EQMA3B,Equatorial Maranhão
CPLE5,Copel
WLMM4,WLM
BMIN3,Banco Mercantil de Investimentos
PINE11,Banco Pine
ESTR4,Estrela
LIPR3,Eletropar
BGIP3,Banese
HETA4,Hercules
CEED3,CEEE D
EKTR3,Elektro
UNIP5,Unipar
HBTS5,Habitasul
BDLL4,Bardella
CGAS3,Comgás
PATI4,Panatlântica
MRSA5B,MRS Logística
BALM3,Baumer
BDLL3,Bardella
PSVM11,PORTO VM
MAPT3,Cemepe
MERC4,Mercantil do Brasil Financeira
COCE3,Coelce
CRPG6,Tronox Pigmentos
CTKA3,Karsten
JOPA3,Josapar
MAPT4,Cemepe
FRIO3,Metalfrio
AHEB3,São Paulo Turismo
BRSR5,Banrisul
SNSY3,Sansuy
CLSC3,Celesc
CEEB5,COELBA
BRKM6,Braskem
DTCY3,Dtcom
